height density massCoverage refractiveIndexCorrection temperature pressure
0 0.00119504 1039.25 0.000276852 293.96 1014
1.726 0.000996759 850.546 0.000230678 288.78 829.494
2 0.000970618 823.593 0.000224593 287.21 803.149
3 0.000880065 731.117 0.000203529 281.36 712.775
4 0.000796675 647.333 0.000184157 275.32 630.921
5 0.000719916 571.553 0.00016635 269.1 556.911
6 0.000649319 503.137 0.000149993 262.68 490.113
7 0.000584456 441.491 0.00013498 256.09 429.945
8 0.000524929 386.062 0.000121213 249.32 375.86
9 0.000470357 336.335 0.000108599 242.37 327.355
10 0.00042037 291.833 9.70505e-05 235.27 283.96
11 0.000374605 252.114 8.6478e-05 228.04 245.242
12 0.000332633 216.78 7.67865e-05 220.76 210.809
13 0.000294003 185.472 6.78673e-05 213.63 180.308
14 0.000258134 157.883 5.9586e-05 207.07 153.44
15 0.000224419 133.77 5.18026e-05 201.74 129.964
16 0.000192557 112.935 4.44471e-05 198.44 109.686
17 0.000162935 95.1815 3.76094e-05 197.58 92.4117
18 0.000136442 80.241 3.1494e-05 198.84 77.8794
19 0.000113718 67.7641 2.62485e-05 201.41 65.7474
20 9.47653e-05 57.369 2.18737e-05 204.55 55.6427
21 7.91508e-05 48.698 1.82695e-05 207.82 47.2165
22 6.6317e-05 41.4448 1.53072e-05 211.02 40.1704
23 5.57471e-05 35.358 1.28674e-05 214.09 34.2592
24 4.70108e-05 30.2334 1.08509e-05 217.01 29.284
25 3.97624e-05 25.9056 9.1778e-06 219.77 25.0836
27.5 2.64737e-05 17.7486 6.11052e-06 225.96 17.1711
30 1.78892e-05 12.2789 4.12908e-06 231.15 11.8695
32.5 1.21494e-05 8.58252 2.80423e-06 237.7 8.28951
35 8.36597e-06 6.04908 1.93097e-06 243.1 5.83777
37.5 5.80972e-06 4.29757 1.34096e-06 248.5 4.14407
40 4.06603e-06 3.07677 9.38491e-07 254 2.96449
42.5 2.86918e-06 2.21903 6.62242e-07 259.4 2.13635
45 2.03973e-06 1.61163 4.70795e-07 264.8 1.55037
47.5 1.46319e-06 1.17794 3.37721e-07 269.6 1.13231
50 1.06989e-06 0.863872 2.46943e-07 270.2 0.829789
55 5.85578e-07 0.461593 1.35158e-07 263.4 0.442736
60 3.18764e-07 0.241791 7.35746e-08 253.1 0.231583
65 1.72595e-07 0.122244 3.98369e-08 236 0.116918
70 8.93367e-08 0.0587717 2.062e-08 218.9 0.0561332
75 4.38826e-08 0.0266501 1.01286e-08 201.8 0.025419
80 2.02603e-08 0.0112822 4.67633e-09 184.8 0.0107471
85 8.44421e-09 0.00451109 1.94902e-09 177.1 0.00429261
90 3.31239e-09 0.00176913 7.6454e-10 177 0.0016829
95 1.27231e-09 0.000706484 2.93664e-10 184.3 0.000673072
100 5.09237e-10 0.000290892 1.17538e-10 190.7 0.00027875
105 2.01684e-10 0.000126201 4.65512e-11 212 0.00012273
110 8.54992e-11 5.91342e-05 1.97342e-11 241.6 5.92929e-05
115 3.74433e-11 3.04583e-05 8.64237e-12 299.7 3.22111e-05
120 1.81716e-11 1.73182e-05 4.19422e-12 380 1.98208e-05
